TOPPAN HALL,江戸川橋,,,
文京シビックホール,後楽園,,,
TOKYO DOME CITY HALL,水道橋,,,
シアターGロッソ,水道橋,,,
東京ドーム,水道橋,,,
プリズムホール,水道橋,,,
尚美バリオホール,春日,,,
東京芸術劇場,池袋,,,
サンシャイン劇場,東池袋,,,
シアターグリーン,池袋,,,
あうるすぽっと,東池袋,,,
南大塚ホール,大塚,,,
豊島公会堂／みらい座いけぶくろ,池袋,,,
大泉学園ゆめりあホール,大泉学園,,,
練馬文化センター,練馬,,,
IMAホール,光が丘,,,
板橋区立文化会館,大山,,,
板橋区高島平区民館,高島平,,,
北とぴあ／さくらホール・つつじホール,王子,,,
北区滝野川会館,上中里,,,
北区赤羽会館,赤羽,,,
日比谷公会堂,内幸町,,,
東京国際フォーラム,有楽町,,,
日経ホール,竹橋,,,
日本教育会館 一ツ橋ホール,神保町,,,
TOKYO FM HALL,半蔵門,,,
日本武道館,九段下,,,
紀尾井ホール,麹町,,,
九段会館,九段下,,,
社会文化会館 三宅坂ホール,永田町,,,
有楽町朝日ホール,有楽町,,,
よみうりホール,有楽町,,,
東京商工会議所／東商ホール,日比谷,,,
イイノホール,霞ヶ関,,,
日比谷野外音楽堂,霞ヶ関,,,
星陵会館ホール,永田町,,,
岩波ホール,神保町,,,
科学技術館サイエンスホール,竹橋,,,
大手町サンケイプラザ,大手町,,,
第一生命ホール,勝どき,,,
王子ホール,銀座,,,
ル・テアトル銀座,銀座一丁目,,,
博品館劇場,新橋,,,
浜離宮朝日ホール,築地市場,,,
銀座ブロッサム,新富町,,,
東京証券会館ホール,茅場町,,,
三越劇場,三越前,,,
ブディストホール,築地,,,
ヤマハホール,銀座,,,
時事通信ホール,東銀座,,,
日本橋公会堂,水天宮前,,,
JTアートホールアフィニス,虎ノ門,,,
草月ホール,青山一丁目,,,
ステラボール,品川,,,
赤坂ACTシアター,松陰神社前,,,
オリベホール,六本木,,,
サントリーホール,溜池山王,,,
Spiral Hall,表参道,,,
NEW PIER HALL,竹芝,,,
俳優座劇場,六本木,,,
ゆうぽうとホール,赤坂見附,,,
メルパルク東京ホール,芝公園,,,
日本消防会館／ニッショーホール,虎ノ門,,,
ヤクルトホール,汐留,,,
霊友会釈迦殿,神谷町,,,
スパイラルホール,表参道,,,
赤坂ブリッツ,赤坂,,,
SPACE107,新宿,,,
新宿文化センター,新宿三丁目,,,
日本青年館大ホール,外苑前,,,
四谷区民ホール,新宿御苑前,,,
新宿明治安田生命ホール,新宿,,,
シアターサンモール,新宿御苑前,,,
音楽の友ホール,神楽坂,,,
東京オペラシティ,初台,,,
東京グローブ座,新大久保,,,
紀伊国屋ホール,新宿,,,
新宿シアターモリエール,新宿三丁目,,,
タイニイアリス,新宿三丁目,,,
新宿区立角筈区民ホール,都庁前,,,
新宿区立牛込箪笥区民ホール,牛込神楽坂,,,
新宿アイランドタワー／アクアプラザ・パティオ,西新宿,,,
ルーテル市ヶ谷ホール,市ヶ谷,,,
労音大久保会館,東新宿,,,
津田ホール,千駄ヶ谷,,,
Bunkamura オーチャードホール シアターコクーン,渋谷,,,
青山劇場／青山円形劇場,表参道,,,
渋谷公会堂,渋谷,,,
新国立劇場,初台,,,
全労災ホール スペース・ゼロ,新宿,,,
クエストホール,明治神宮前,,,
白寿ホール,代々木公園,,,
ラフォーレニュージアム原宿,明治神宮前,,,
NHKホール,代々木公園,,,
国立代々木競技場,明治神宮前,,,
パルコ劇場,渋谷,,,
国立能楽堂,北参道,,,
紀伊国屋サザンシアター,新宿三丁目,,,
東京体育館,国立競技場,,,
MUSICASA(ムジカーザ),代々木上原,,,
渋谷区文化センター大和田／さくらホール・伝承ホール,渋谷,,,
中野サンプラザ,中野,,,
なかのZERO,中野,,,
野方区民ホール,野方,,,
座・高円寺,高円寺,,,
セシオン杉並,東高円寺,,,
明石スタジオ,高円寺,,,
世田谷区民会館,松陰神社前,,,
世田谷区玉川区民会館,等々力,,,
世田谷区烏山区民会館,千歳烏山,,,
北沢タウンホール,下北沢,,,
世田谷パブリックシアター シアタートラム,三軒茶屋,,,
昭和女子大学 人見記念講堂,三軒茶屋,,,
成城ホール,成城学園前,,,
本多劇場,下北沢,,,
ザ・スズナリ,下北沢,,,
駅前劇場,下北沢,,,
「劇」小劇場,下北沢,,,
アレーナホール,二子玉川,,,
オーキッドミュージックサロン,二子玉川,,,
中目黒GTプラザホール,中目黒,,,
めぐろパーシモンホール,都立大学,,,
ザ・ガーデンホール／ルーム,恵比寿,,,
こまばアゴラ劇場,駒場東大前,,,
目黒区中小企業センター,目黒,,,
天王洲 銀河劇場,天王洲アイル,,,
ゆうぽうとホール,大崎広小路,,,
六行会ホール,新馬場,,,
品川区立総合区民会館／きゅりあん,大井町,,,
品川区荏原文化センター,荏原中延,,,
大田区民プラザ,下丸子,,,
大田区民ホール アプリコ,蒲田,,,
大田文化の森,大森,,,
江東区文化センター,東陽町,,,
カメリアホール,亀戸,,,
ティアラこうとう,住吉,,,
TFTホール,国際展示場正門,,,
江東区森下文化センター,森下,,,
有明コロシアム,有明テニスの森,,,
東京ビッグサイト,国際展示場正門,,,
ディファ有明,有明テニスの森,,,
すみだトリフォニーホール,錦糸町,,,
両国国技館,両国,,,
シアターX,両国,,,
すみだリバーサイドホール,浅草,,,
曳舟文化センター,京成曳舟,,,
東京文化会館,上野,,,
上野学園 石橋メモリアルホール,稲荷町,,,
浅草公会堂,浅草,,,
東京キネマ倶楽部,鶯谷,,,
ダンスホール新世紀,鶯谷,,,
ムーブ町屋,町屋,,,
荒川区民会館／サンパール荒川,荒川区役所前,,,
日暮里サニーホール,日暮里,,,
西新井文化ホール／ギャラクシティ,西新井,,,
シアター1010,北千住,,,
東京芸術センター／天空劇場,北千住,,,
かめありリリオホール,亀有,,,
かつしかシンフォニーヒルズ,京成立石,,,
タワーホール船堀,船堀,,,
江戸川区総合文化センター,新小岩,,,
江戸川区葛西区民館,葛西,,,
吉祥寺シアター,吉祥寺,,,
武蔵野市民文化会館,三鷹,,,
武蔵野スイングホール,武蔵境,,,
三鷹市芸術文化センター,三鷹,,,
三鷹市公会堂,三鷹,,,
調布市グリーンホール,調布,,,
調布市文化会館 たづくり,調布,,,
府中グリーンプラザ,府中,,,
府中の森芸術劇場,東府中,,,
国分寺市立いずみホール,西国分寺,,,
くにたち市民芸術小ホール,谷保,,,
立川市市民会館（アミューたちかわ）,立川,,,
日野市民会館,日野,,,
八王子市芸術文化会館 いちょうホール,八王子,,,
八王子市民会館,八王子,,,
八王子市南大沢文化会館,南大沢,,,
八王子市学園都市センター,八王子,,,
狛江エコルマホール,狛江,,,
町田市民ホール,町田,,,
パルテノン多摩,多摩センター,,,
保谷こもれびホール,保谷,,,
ルネこだいら,小平,,,
ハミングホール,東大和市,,,
武蔵村山市民会館 さくらホール,,,,
昭島市民会館,昭島,,,
福生市民会館,牛浜,,,
秋川キララホール,秋川,,,
瑞穂スカイホール,箱根ヶ崎,,,